,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
4468,DKL,"Delek Logistics Partners, LP",2020-02-25T05:00:00.000Z,TNS,0.74,0.52,-29.92,0,EQUITY
4469,DLTTF,Dalata Hotel Group plc,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4470,PEFDF,Delfi Limited,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4471,NPO,"EnPro Industries, Inc.",2020-02-25T05:00:00.000Z,TNS,0.3,0.57,90.0,0,EQUITY
4472,EVTC,"EVERTEC, Inc.",2020-02-25T05:00:00.000Z,TNS,0.49,0.48,-1.84,0,EQUITY
4473,EVH,"Evolent Health, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.04,-0.07,-94.44,0,EQUITY
4474,DEA,"Easterly Government Properties, Inc.",2020-02-25T05:00:00.000Z,TNS,0.0,0.02,500.0,0,EQUITY
4475,ENGGY,"Enagas, S.A.",2020-02-25T05:00:00.000Z,TNS,,0.37,,0,EQUITY
4476,PEI,Pennsylvania Real Estate Investment Trust,2020-02-25T05:00:00.000Z,TNS,-0.07,-0.29,-286.67,0,EQUITY
4477,JONE,Jones Energy Inc,2020-02-25T21:00:00.000Z,AMC,,,,0,EQUITY
4478,ENGGF,"Enagas, S.A.",2020-02-25T05:00:00.000Z,TNS,,0.37,,0,EQUITY
4479,EXEL,"Exelixis, Inc.",2020-02-25T05:00:00.000Z,TNS,0.17,0.22,33.33,0,EQUITY
4480,ENLC,"EnLink Midstream, LLC",2020-02-25T05:00:00.000Z,TNS,0.04,-1.92,-4782.93,0,EQUITY
4481,MDDNF,Meridian Energy Limited,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4482,PEI-PD,Pennsylvania Real Estate Investment Trust,2020-02-25T05:00:00.000Z,TNS,-0.07,-0.29,-286.67,0,EQUITY
4483,EOLS,"Evolus, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.73,-0.47,35.88,0,EQUITY
4484,ELEZF,"Endesa, S.A.",2020-02-25T05:00:00.000Z,TNS,,0.0,,0,EQUITY
