,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
7064,KFMNF,Kaufman & Broad S.A.,2020-03-19T04:00:00.000Z,TNS,,0.6,,0,EQUITY
7065,KBRLF,K-Bro Linen Inc.,2020-03-19T04:00:00.000Z,TNS,0.28,0.2,-27.27,0,EQUITY
7067,OSVBF,OneSavings Bank Plc,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7068,VBLT,Vascular Biogenics Ltd.,2020-03-19T04:00:00.000Z,TNS,-0.13,-0.16,-19.4,0,EQUITY
7069,SONN,"Sonnet BioTherapeutics Holdings, Inc.",2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7070,TPGVF,Top Glove Corporation Bhd.,2020-03-19T04:00:00.000Z,TNS,0.04,0.04,-2.27,0,EQUITY
7071,BZQIY,Bezeq The Israel Telecommunication Corporation Limited,2020-03-19T04:00:00.000Z,TNS,,0.0,,0,EQUITY
7072,SEOVF,Sernova Corp.,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7073,EPAC,Enerpac Tool Group Corp.,2020-03-19T04:00:00.000Z,TNS,0.12,0.09,-23.08,0,EQUITY
7074,FRRPF,Fiera Capital Corporation,2020-03-19T04:00:00.000Z,TNS,0.42,0.41,-1.44,0,EQUITY
7075,TIXC,Tix Corp,2020-03-20T00:00:00.000Z,AMC,,,,0,EQUITY
7076,CCL,Carnival Corporation & Plc,2020-03-19T04:00:00.000Z,TNS,0.27,0.22,-19.71,0,EQUITY
7077,CHLKF,China Mobile Limited,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7079,CUKPF,Carnival Corporation & Plc,2020-03-19T04:00:00.000Z,TNS,0.5,0.22,-56.0,0,EQUITY
7080,CIG-C,Companhia Energetica de Minas Gerais,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7081,CRIS,Curis Inc,2020-03-19T14:59:00.000Z,TNS,,,,0,EQUITY
7082,LEN-B,Lennar Corporation,2020-03-19T04:00:00.000Z,TNS,0.84,1.27,51.01,0,EQUITY
7083,MXGFF,Maxim Power Corp.,2020-03-19T04:00:00.000Z,TNS,0.0,-0.04,,0,EQUITY
7084,GECC,Great Elm Capital Corporation,2020-03-19T04:00:00.000Z,TNS,0.25,0.25,0.0,0,EQUITY
7085,SCHL,Scholastic Corporation,2020-03-19T04:00:00.000Z,TNS,-0.64,-1.25,-95.31,0,EQUITY
7086,CSPR,Casper Sleep Inc.,2020-03-19T04:00:00.000Z,TNS,-0.58,-2.46,-320.51,0,EQUITY
7087,CTAS,Cintas Corporation,2020-03-19T04:00:00.000Z,TNS,2.02,2.16,7.14,0,EQUITY
7088,LEN,Lennar Corporation,2020-03-19T04:00:00.000Z,TNS,0.84,1.27,51.01,0,EQUITY
7089,QBAK,Qualstar Corporation,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7090,CATO,The Cato Corporation,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7091,CRWD,"CrowdStrike Holdings, Inc.",2020-03-19T04:00:00.000Z,TNS,-0.08,-0.02,76.19,0,EQUITY
7092,CMC,Commercial Metals Company,2020-03-19T04:00:00.000Z,TNS,0.49,0.53,8.61,0,EQUITY
7093,BURG,"Chanticleer Holdings, Inc.",2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7094,CPPSF,Cassiopea S.p.A.,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7095,FLMMF,Filo Mining Corp.,2020-03-19T04:00:00.000Z,TNS,-0.12,-0.09,25.0,0,EQUITY
7096,CIG,Companhia Energetica de Minas Gerais,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7097,LODE,Comstock Mining Inc,2020-03-19T16:30:00.000Z,BMO,,,,0,EQUITY
7098,TKKHF,Tikehau Capital,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7099,DLTH,Duluth Holdings Inc.,2020-03-19T04:00:00.000Z,TNS,0.78,0.75,-4.34,0,EQUITY
7100,DRI,"Darden Restaurants, Inc.",2020-03-19T04:00:00.000Z,TNS,1.88,1.9,1.12,0,EQUITY
7101,HDIUF,Hardwoods Distribution Inc.,2020-03-19T04:00:00.000Z,TNS,0.28,0.35,25.0,0,EQUITY
7102,DXLG,"Destination XL Group, Inc.",2020-03-19T04:00:00.000Z,TNS,0.05,0.05,0.0,0,EQUITY
7103,DOYU,DouYu International Holdings Limited,2020-03-19T04:00:00.000Z,TNS,0.37,0.58,58.04,0,EQUITY
7104,ESOCF,Enel SpA,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7105,EZTCF,EZTEC Empreendimentos e Participacoes S.A.,2020-03-19T04:00:00.000Z,TNS,0.4,0.47,16.34,0,EQUITY
7106,EFOI,"Energy Focus, Inc.",2020-03-19T04:00:00.000Z,TNS,-0.08,-0.11,-37.5,0,EQUITY
7107,ENT,Global Eagle Entertainment Inc.,2020-03-19T04:00:00.000Z,TNS,-8.5,-9.75,-14.71,0,EQUITY
7108,PESI,Perma-Fix Environmental Services Inc,2020-03-19T16:30:00.000Z,BMO,,,,0,EQUITY
7109,HRCXF,Hurricane Energy plc,2020-03-19T04:00:00.000Z,TNS,0.0,,,0,EQUITY
7110,ENLAY,Enel SpA,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7111,EERGF,Energean plc,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7112,FANH,Fanhua Inc.,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7113,FINV,FinVolution Group,2020-03-19T04:00:00.000Z,TNS,1.33,1.32,-0.08,0,EQUITY
7114,WILC,G Willi-Food International Ltd,2020-03-19T11:00:05.000Z,TAS,,,,0,EQUITY
7115,GDS,GDS Holdings Limited,2020-03-19T04:00:00.000Z,TNS,-0.52,-0.8,-53.85,0,EQUITY
7116,PPAAY,PT Perusahaan Gas Negara Tbk,2020-03-19T04:00:00.000Z,TNS,,0.0,,0,EQUITY
7117,PPAAF,PT Perusahaan Gas Negara Tbk,2020-03-19T04:00:00.000Z,TNS,,0.0,,0,EQUITY
7118,WTT,Wireless Telecom Group Inc,2020-03-20T00:00:00.000Z,AMC,,,,0,EQUITY
7119,UG,United-Guardian Inc,2020-03-19T16:30:00.000Z,BMO,,,,0,EQUITY
7120,INFU,InfuSystem Holdings Inc,2020-03-20T00:00:00.000Z,AMC,,,,0,EQUITY
7121,HLTRF,HLS Therapeutics Inc.,2020-03-19T04:00:00.000Z,TNS,-0.08,-0.4,-400.0,0,EQUITY
7122,LAZY,"Lazydays Holdings, Inc.",2020-03-19T04:00:00.000Z,TNS,-0.37,-0.06,83.78,0,EQUITY
7123,SFHLF,SAF-Holland SE,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7124,HOOK,HOOKIPA Pharma Inc.,2020-03-19T04:00:00.000Z,TNS,-0.47,-0.4,14.89,0,EQUITY
7125,MOMO,Momo Inc.,2020-03-19T04:00:00.000Z,TNS,5.24,5.52,5.32,0,EQUITY
7126,SYPR,"Sypris Solutions, Inc.",2020-03-19T04:00:00.000Z,TNS,0.01,-0.04,-500.0,0,EQUITY
7127,NSYS,Nortech Systems Inc,2020-03-20T00:00:00.000Z,AMC,,,,0,EQUITY
7128,RTW,"RTW Retailwinds, Inc.",2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7129,EYES,"Second Sight Medical Products, Inc.",2020-03-19T04:00:00.000Z,TNS,-0.49,-0.5,-2.04,0,EQUITY
7130,VIVE,"Viveve Medical, Inc.",2020-03-19T04:00:00.000Z,TNS,-1.24,-4.38,-252.98,0,EQUITY
7131,VXRT,"Vaxart, Inc.",2020-03-19T04:00:00.000Z,TNS,-0.13,-0.13,0.0,0,EQUITY
7132,PHAT,"Phathom Pharmaceuticals, Inc.",2020-03-19T04:00:00.000Z,TNS,-1.25,-3.97,-217.6,0,EQUITY
7133,ZLAB,Zai Lab Limited,2020-03-19T04:00:00.000Z,TNS,-0.59,-0.68,-14.29,0,EQUITY
7134,TATT,TAT Technologies Ltd,2020-03-19T20:25:02.000Z,TAS,,,,0,EQUITY
7135,SHUFF,Shufersal Ltd.,2020-03-19T04:00:00.000Z,TNS,,0.49,,0,EQUITY
7136,MTL-P,Mechel PAO,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7137,MYTHF,Mytilineos S.A.,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7138,MTL,Mechel PAO,2020-03-19T04:00:00.000Z,TNS,,,,0,EQUITY
7139,SNMRF,Snam S.p.A.,2020-03-19T04:00:00.000Z,TNS,0.06,,,0,EQUITY
7140,NTIP,Network-1 Technologies Inc,2020-03-21T00:00:00.000Z,AMC,,,,0,EQUITY
7141,NMTR,"9 Meters Biopharma, Inc.",2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7142,INNT,"9 Meters Biopharma, Inc.",2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7143,NMTLF,New Age Metals Inc.,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7144,SEIGF,Semperit Aktiengesellschaft Holding,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7145,HBBHF,Hornbach Holding AG & Co. KGaA,2020-03-20T04:00:00.000Z,TNS,-2.33,,,0,EQUITY
7146,CMTSY,Cementos Argos S.A.,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7147,NEUSF,NTG Nordic Transport Group A/S,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7148,ADIL,"Adial Pharmaceuticals, Inc.",2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7149,CMTOY,Cementos Argos S.A.,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7150,HLAGF,Hapag-Lloyd Aktiengesellschaft,2020-03-20T04:00:00.000Z,TNS,0.28,0.43,56.36,0,EQUITY
7152,DOOO,BRP Inc.,2020-03-20T04:00:00.000Z,TNS,1.08,1.12,3.42,0,EQUITY
7153,LMNL,Liminal BioSciences Inc.,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7154,CUK,Carnival Corp,2020-03-20T07:00:24.000Z,TAS,,,,0,EQUITY
7155,ENSV,Enservco Corporation,2020-03-20T04:00:00.000Z,TNS,-0.05,-0.06,-9.09,0,EQUITY
7156,WLBMF,Wallbridge Mining Company Limited,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7157,QTEYF,Questerre Energy Corporation,2020-03-20T04:00:00.000Z,TNS,0.01,-0.02,-300.0,0,EQUITY
7158,TIF,Tiffany & Co.,2020-03-20T04:00:00.000Z,TNS,1.77,1.8,1.87,0,EQUITY
7159,DFODQ,Dean Foods Company,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7160,CNPPF,China Overseas Property Holdings Limited,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7161,CVR,Chicago Rivet & Machine Co,2020-03-21T00:00:00.000Z,AMC,,,,0,EQUITY
7162,DVFI,"Diversified Oil & Gas Holdings, Ltd.",2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7163,DLGCF,Datalogic S.p.A.,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7164,ERYP,ERYTECH Pharma S.A.,2020-03-20T04:00:00.000Z,TNS,-0.95,-1.08,-13.68,0,EQUITY
7165,UNIR,Uniroyal Global Engineered Products Inc,2020-03-21T00:00:00.000Z,AMC,,,,0,EQUITY
7166,FTSV,"Forty Seven, Inc.",2020-03-20T04:00:00.000Z,TNS,-0.71,-0.61,14.08,0,EQUITY
7167,CLUB,"Town Sports International Holdings, Inc.",2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7168,TRQ,Turquoise Hill Resources Ltd.,2020-03-20T04:00:00.000Z,TNS,0.0,0.06,2100.0,0,EQUITY
7169,HIBB,"Hibbett Sports, Inc.",2020-03-20T04:00:00.000Z,TNS,0.62,0.51,-17.34,0,EQUITY
7170,PXS,Pyxis Tankers Inc.,2020-03-20T04:00:00.000Z,TNS,-0.02,-0.17,-750.0,0,EQUITY
7171,MCRAB,McRae Industries Inc,2020-03-21T00:00:00.000Z,AMC,,,,0,EQUITY
7172,UONEK,Urban One Inc,2020-03-20T10:45:00.000Z,TAS,,,,0,EQUITY
7173,TARA,"Protara Therapeutics, Inc.",2020-03-20T04:00:00.000Z,TNS,-0.71,-2.55,-259.15,0,EQUITY
7174,LGORF,Largo Resources Ltd.,2020-03-20T04:00:00.000Z,TNS,0.0,-0.01,-100.0,0,EQUITY
7175,CHTEF,,2020-03-20T04:00:00.000Z,TNS,,,,0,EQUITY
7176,PNDFF,PT Indofood CBP Sukses Makmur Tbk,2020-03-22T04:00:00.000Z,TNS,97.69,99.0,1.34,0,EQUITY
7177,PIFMF,PT Indofood Sukses Makmur Tbk,2020-03-22T04:00:00.000Z,TNS,139.46,157.0,12.58,0,EQUITY
7178,AXLA,Axcella Health Inc.,2020-03-23T04:00:00.000Z,TNS,-0.74,-0.68,7.73,0,EQUITY
7179,APHB,AmpliPhi Biosciences Corp,2020-03-23T10:59:00.000Z,TNS,,,,0,EQUITY
7180,ASOZF,Asseco Poland S.A.,2020-03-23T04:00:00.000Z,TNS,,1.01,,0,EQUITY
7181,AEYE,"AudioEye, Inc.",2020-03-23T04:00:00.000Z,TNS,-0.3,-0.16,47.54,0,EQUITY
7182,ABMBF,Abcourt Mines Inc.,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7183,BRSYF,Brainsway Ltd.,2020-03-23T04:00:00.000Z,TNS,-0.12,-0.1,18.7,0,EQUITY
7184,BPMX,BioPharmX Corporation,2020-03-23T04:00:00.000Z,TNS,-0.96,-1.03,-6.98,0,EQUITY
7185,BWAY,Brainsway Ltd.,2020-03-23T04:00:00.000Z,TNS,-0.12,-0.2,-69.49,0,EQUITY
7186,BRBOF,Brembo S.p.A.,2020-03-23T04:00:00.000Z,TNS,0.17,0.17,0.0,0,EQUITY
7187,BHAT,Blue Hat Interactive Entertainment Technology,2020-03-23T14:59:00.000Z,TNS,,,,0,EQUITY
7188,CHUFF,China Unicom (Hong Kong) Limited,2020-03-23T04:00:00.000Z,TNS,0.09,0.05,-45.56,0,EQUITY
7189,CEL,Cellcom Israel Ltd.,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7190,HLDCY,Henderson Land Development Company Limited,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7191,TCYMF,Tingyi (Cayman Islands) Holding Corp.,2020-03-23T04:00:00.000Z,TNS,0.0,,,0,EQUITY
7192,HLDVF,Henderson Land Development Company Limited,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7193,CANG,Cango Inc.,2020-03-23T04:00:00.000Z,TNS,0.61,0.76,24.59,0,EQUITY
7194,CHU,China Unicom (Hong Kong) Limited,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7195,OCLCF,Oracle Corporation Japan,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7196,SKKY,Skkynet Cloud Systems Inc,2020-03-23T14:59:00.000Z,TNS,,,,0,EQUITY
7197,DMAC,DiaMedica Therapeutics Inc.,2020-03-23T04:00:00.000Z,TNS,-0.25,-0.21,15.66,0,EQUITY
7198,MPVDF,Mountain Province Diamonds Inc.,2020-03-23T04:00:00.000Z,TNS,-0.04,-0.6,-1400.0,0,EQUITY
7199,ESIGF,ESI Group SA,2020-03-23T04:00:00.000Z,TNS,,,,0,EQUITY
7200,ECOR,"electroCore, Inc.",2020-03-23T04:00:00.000Z,TNS,-0.29,-0.29,0.0,0,EQUITY
7201,MARA,Marathon Patent Group Inc,2020-03-24T00:00:00.000Z,AMC,,,,0,EQUITY
7202,OXBR,Oxbridge Re Holdings Ltd,2020-03-24T00:00:00.000Z,AMC,,,,0,EQUITY
7203,VTSI,"VirTra, Inc.",2020-03-23T04:00:00.000Z,TNS,0.0,0.02,500.0,0,EQUITY
7204,STOK,Stoke Therapeutics Inc,2020-03-23T16:30:00.000Z,BMO,-0.31,-0.09,70.97,0,EQUITY
7205,JT,Jianpu Technology Inc.,2020-03-23T04:00:00.000Z,TNS,0.16,-0.41,-356.25,0,EQUITY
7206,ITP,IT Tech Packaging Inc,2020-03-23T12:45:04.000Z,TAS,,,,0,EQUITY
7207,SY,So-Young International Inc.,2020-03-23T04:00:00.000Z,TNS,0.87,0.8,-8.15,0,EQUITY
7208,RBCN,Rubicon Technology Inc,2020-03-23T14:59:00.000Z,TNS,,,,0,EQUITY
7209,TREP,Trucept Inc,2020-03-23T16:30:00.000Z,BMO,,,,0,EQUITY
7210,RAVN,"Raven Industries, Inc.",2020-03-23T04:00:00.000Z,TNS,0.05,0.09,69.81,0,EQUITY
7211,SLRX,"Salarius Pharmaceuticals, Inc.",2020-03-23T04:00:00.000Z,TNS,,-0.44,,0,EQUITY
7212,PANL,"Pangaea Logistics Solutions, Ltd.",2020-03-23T04:00:00.000Z,TNS,0.1,0.11,10.0,0,EQUITY
7213,FENG,Phoenix New Media Limited,2020-03-23T04:00:00.000Z,TNS,-0.26,-1.14,-340.15,0,EQUITY
7214,ORRLF,Orla Mining Ltd.,2020-03-23T04:00:00.000Z,TNS,-0.02,-0.03,-50.0,0,EQUITY
7215,PHDVF,,2020-03-23T04:00:00.000Z,TNS,0.3,0.08,-72.88,0,EQUITY
7216,TMBR,,2020-03-23T04:00:00.000Z,TNS,-0.96,-1.03,-6.98,0,EQUITY
7217,WUXIF,"WuXi AppTec Co., Ltd.",2020-03-24T04:00:00.000Z,TNS,0.26,,,0,EQUITY
7219,AIR,AAR Corp.,2020-03-24T04:00:00.000Z,TNS,0.64,0.67,4.2,0,EQUITY
7220,SGTSF,Singulus Technologies AG,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7221,ALEC,"Alector, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.36,-0.45,-24.65,0,EQUITY
7222,ASCLF,Ascletis Pharma Inc.,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7223,HOME,At Home Group Inc.,2020-03-24T04:00:00.000Z,TNS,0.36,0.37,1.93,0,EQUITY
7224,HPMCF,Africa Energy Corp.,2020-03-24T04:00:00.000Z,TNS,,0.0,,0,EQUITY
7225,TVAVF,The Tel-Aviv Stock Exchange Ltd.,2020-03-24T04:00:00.000Z,TNS,0.05,0.02,-60.0,0,EQUITY
7226,RTLLF,RATIONAL Aktiengesellschaft,2020-03-24T04:00:00.000Z,TNS,4.31,4.17,-3.18,0,EQUITY
7227,AAME,Atlantic American Corp,2020-03-24T14:59:00.000Z,TNS,,,,0,EQUITY
7228,IDYA,"IDEAYA Biosciences, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.57,-0.53,7.5,0,EQUITY
7229,SNBP,Sun Biopharma Inc,2020-03-24T16:30:00.000Z,BMO,,,,0,EQUITY
7230,BDTX,"Black Diamond Therapeutics, Inc.",2020-03-24T04:00:00.000Z,TNS,-1.37,-4.63,-237.96,0,EQUITY
7231,GOSS,"Gossamer Bio, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.86,-0.89,-3.49,0,EQUITY
7232,DNJR,Golden Bull Ltd,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7233,BRP,"BRP Group, Inc.",2020-03-24T04:00:00.000Z,TNS,0.06,-0.48,-913.56,0,EQUITY
7234,CANSF,Willow Biosciences Inc.,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7235,VNNHF,Belo Sun Mining Corp,2020-03-24T04:00:00.000Z,TNS,0.0,-0.01,-100.0,0,EQUITY
7236,TNMCF,Titan Mining Corporation,2020-03-24T04:00:00.000Z,TNS,-0.02,-0.02,0.0,0,EQUITY
7237,CRZHF,Rockwealth Resources Corp.,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7238,NMREF,Namibia Critical Metals Inc.,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7239,GO,Grocery Outlet Holding Corp.,2020-03-24T04:00:00.000Z,TNS,0.18,0.21,20.0,0,EQUITY
7240,UMTAF,Genertec Universal Medical Group Company Limited,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7241,CURLF,"Curaleaf Holdings, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.03,-0.06,-81.82,0,EQUITY
7242,TNXP,Tonix Pharmaceuticals Holding Corp.,2020-03-24T04:00:00.000Z,TNS,-1.49,-2.86,-91.95,0,EQUITY
7243,IPMLF,Imperial Metals Corporation,2020-03-24T04:00:00.000Z,TNS,0.01,0.14,1300.0,0,EQUITY
7244,NEOG,Neogen Corporation,2020-03-24T04:00:00.000Z,TNS,0.27,0.23,-14.81,0,EQUITY
7245,HMMR,Hammer Fiber Optics Holdings Corp,2020-03-24T14:59:00.000Z,TNS,,,,0,EQUITY
7246,ELA,Envela Corp,2020-03-24T12:30:00.000Z,TAS,,,,0,EQUITY
7247,WYY,WidePoint Corporation,2020-03-24T04:00:00.000Z,TNS,0.0,0.0,,0,EQUITY
7248,CMCM,Cheetah Mobile Inc.,2020-03-24T04:00:00.000Z,TNS,-0.42,-1.78,-327.88,0,EQUITY
7249,SNX,SYNNEX Corporation,2020-03-24T04:00:00.000Z,TNS,3.1,3.26,5.26,0,EQUITY
7250,KSFTF,Kingsoft Corporation Limited,2020-03-24T04:00:00.000Z,TNS,0.28,-0.09,-132.14,0,EQUITY
7251,CWBHF,"Charlotte's Web Holdings, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.01,-0.19,-3066.67,0,EQUITY
7252,LEAT,Leatt Corp,2020-03-24T16:30:00.000Z,BMO,,,,0,EQUITY
7253,JSDA,Jones Soda Co,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7254,DTRK,DATATRAK International Inc,2020-03-24T14:59:00.000Z,TNS,,,,0,EQUITY
7255,TNP-PF,Tsakos Energy Navigation Limited,2020-03-24T04:00:00.000Z,TNS,0.31,0.34,9.32,0,EQUITY
7256,TNP,Tsakos Energy Navigation Limited,2020-03-24T04:00:00.000Z,TNS,0.31,0.34,9.32,0,EQUITY
7257,EH,EHang Holdings Limited,2020-03-24T04:00:00.000Z,TNS,-0.07,0.01,108.82,0,EQUITY
7258,MCESF,Macro Enterprises Inc.,2020-03-24T04:00:00.000Z,TNS,0.14,0.06,-58.62,0,EQUITY
7259,HLG,Hailiang Education Group Inc,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7260,GUERF,Guerbet SA,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7262,SLGL,Sol-Gel Technologies Ltd.,2020-03-24T04:00:00.000Z,TNS,-0.34,-0.33,3.79,0,EQUITY
7263,WHGRF,WH Group Limited,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7264,GNC,"GNC Holdings, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.52,-0.07,86.54,0,EQUITY
7265,LX,LexinFintech Holdings Ltd.,2020-03-24T04:00:00.000Z,TNS,3.89,2.87,-26.13,0,EQUITY
7266,NOAH,Noah Holdings Limited,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7267,THMO,"ThermoGenesis Holdings, Inc.",2020-03-24T04:00:00.000Z,TNS,0.05,-1.35,-2800.0,0,EQUITY
7268,ONTX,"Onconova Therapeutics, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.25,-0.4,-61.94,0,EQUITY
7269,OPGN,"OpGen, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.81,-0.59,26.54,0,EQUITY
7270,KRTX,"Karuna Therapeutics, Inc.",2020-03-24T04:00:00.000Z,TNS,-0.47,-0.32,32.49,0,EQUITY
7271,SCPH,scPharmaceuticals Inc.,2020-03-24T04:00:00.000Z,TNS,-0.52,-0.58,-10.48,0,EQUITY
7274,CUUHF,Stuart Olson Inc.,2020-03-24T04:00:00.000Z,TNS,-0.07,-0.5,-614.29,0,EQUITY
7275,SCS,Steelcase Inc.,2020-03-24T04:00:00.000Z,TNS,0.32,0.39,21.88,0,EQUITY
7276,INFO,IHS Markit Ltd.,2020-03-24T04:00:00.000Z,TNS,0.64,0.66,3.61,0,EQUITY
7277,TBTC,Table Trac Inc,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7278,TSSI,TSS Inc,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7279,YJ,Yunji Inc.,2020-03-24T04:00:00.000Z,TNS,0.13,0.12,-7.69,0,EQUITY
7280,NKE,"NIKE, Inc.",2020-03-24T04:00:00.000Z,TNS,0.59,0.53,-10.17,0,EQUITY
7281,PALT,Paltalk Inc,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7282,RAZFF,Razer Inc.,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7283,TLLYF,Trilogy International Partners Inc.,2020-03-24T04:00:00.000Z,TNS,-0.11,0.3,372.73,0,EQUITY
7284,IOR,Income Opportunity Realty Investors Inc,2020-03-25T00:00:00.000Z,AMC,,,,0,EQUITY
7285,WHZT,Whiting USA Trust II,2020-03-24T14:59:00.000Z,TNS,,,,0,EQUITY
7286,SGLB,"Sigma Labs, Inc.",2020-03-24T04:00:00.000Z,TNS,-1.0,-1.17,-17.0,0,EQUITY
7287,NVYAF,Navya SA,2020-03-24T04:00:00.000Z,TNS,,,,0,EQUITY
7288,NRDXF,Nordex SE,2020-03-24T04:00:00.000Z,TNS,0.36,,,0,EQUITY
7289,QIWI,Qiwi plc,2020-03-24T04:00:00.000Z,TNS,18.87,18.74,-0.69,0,EQUITY
7290,RIBT,RiceBran Technologies,2020-03-24T04:00:00.000Z,TNS,-0.12,-0.11,8.33,0,EQUITY
7291,FSCGF,4SC AG,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7292,ALTG,Alta Equipment Group Inc.,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7293,AMRH,"Ameri Holdings, Inc.",2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7294,ABTPF,Aubay Societe Anonyme,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7295,AGFMF,AGF Management Limited,2020-03-25T04:00:00.000Z,TNS,0.15,0.13,-15.03,0,EQUITY
7296,HHULF,Hamburger Hafen und Logistik Aktiengesellschaft,2020-03-25T04:00:00.000Z,TNS,0.31,0.27,-11.48,0,EQUITY
7297,TMFXF,HolidayCheck Group AG,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7298,UDIRF,United Internet AG,2020-03-25T04:00:00.000Z,TNS,0.7,0.49,-29.5,0,EQUITY
7299,ZLPSF,zooplus AG,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7300,AMPG,Amplitech Group Inc,2020-03-25T14:59:00.000Z,TNS,,,,0,EQUITY
7301,ABCP,AmBase Corp,2020-03-25T14:59:00.000Z,TNS,,,,0,EQUITY
7302,CXRXF,ADVANZ PHARMA Corp. Limited,2020-03-25T04:00:00.000Z,TNS,-0.46,-0.07,84.78,0,EQUITY
7303,FSXXF,First Sensor AG,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7304,APGMF,Applied Graphene Materials plc,2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7305,ANVS,"Annovis Bio, Inc.",2020-03-25T04:00:00.000Z,TNS,,,,0,EQUITY
7306,AZRGF,Azrieli Group Ltd,2020-03-25T04:00:00.000Z,TNS,2.39,9.15,282.53,0,EQUITY
7307,ACFN,Acorn Energy Inc,2020-03-26T00:00:00.000Z,AMC,,,,0,EQUITY
7308,AKER,Akers Biosciences Inc,2020-03-25T14:59:00.000Z,TNS,,,,0,EQUITY
